HR,CI_lower,CI_upper,p_value,n,events,adjustment,analysis,condition,outcome
0.7852556490525562,0.4254537070508329,1.4493384924138812,0.43943881361565273,948,61,Unadjusted,Baseline,All,Recurrence
0.7566526356925839,0.4093674593581003,1.3985557425552744,0.37361547363248615,948,61,Age-adjusted,Baseline,All,Recurrence
0.7508873554759155,0.3451327846336693,1.6336663618093423,0.47004963856912074,920,39,Unadjusted,Landmark,180일,Recurrence
0.7298003747537086,0.3349448208710837,1.5901382968260565,0.42794499416463283,920,39,Age-adjusted,Landmark,180일,Recurrence
0.7315215475492737,0.2989915979656133,1.789761913612129,0.4934321667996634,885,30,Unadjusted,Landmark,365일,Recurrence
0.7116227210538949,0.2903618280172932,1.7440546527003857,0.4569642348674514,885,30,Age-adjusted,Landmark,365일,Recurrence
0.6251599049756781,0.27593508390359067,1.416365404718704,0.26026085710336966,948,39,Unadjusted,Restricted FU,2년,Recurrence
0.6028363176643952,0.2656925933637559,1.3677898254304213,0.22599107970717158,948,39,Age-adjusted,Restricted FU,2년,Recurrence
0.8418039937592356,0.4159019039211903,1.7038488096060245,0.6321545601279172,948,44,Unadjusted,Restricted FU,3년,Recurrence
0.8099817528498134,0.3995311438055354,1.6421008727894981,0.5589034423221366,948,44,Age-adjusted,Restricted FU,3년,Recurrence
0.8033850680801943,0.4236542478567468,1.523477153550131,0.5025177459052548,948,55,Unadjusted,Restricted FU,5년,Recurrence
0.771628084095353,0.4062347342516005,1.465679445805093,0.4283511758491986,948,55,Age-adjusted,Restricted FU,5년,Recurrence
0.7508873554759161,0.34513278463366975,1.6336663618093432,0.47004963856912185,926,39,Unadjusted,Exclude Early,180일 이전 제외,Recurrence
0.7298003747537085,0.33494482087108357,1.5901382968260562,0.4279449941646326,926,39,Age-adjusted,Exclude Early,180일 이전 제외,Recurrence
0.7315215475492741,0.2989915979656134,1.78976191361213,0.49343216679966406,917,30,Unadjusted,Exclude Early,365일 이전 제외,Recurrence
0.7116227210538948,0.29036182801729316,1.7440546527003855,0.4569642348674513,917,30,Age-adjusted,Exclude Early,365일 이전 제외,Recurrence
0.6886457553246796,0.1961888290053009,2.417227212839346,0.5603802881644894,420,16,Unadjusted,Subgroup-Age,<35세,Recurrence
0.47371663119188784,0.16530502969512512,1.3575355031947276,0.16424334458237588,365,30,Unadjusted,Subgroup-Age,35-44세,Recurrence
1.6372046891412881,0.582593337624876,4.600875123416054,0.34970526148751147,163,15,Unadjusted,Subgroup-Age,≥45세,Recurrence
0.9326697356990425,0.7755736024740087,1.1215864401703555,0.45887783952135053,948,592,Unadjusted,Baseline,All,HPV_Reinfection
0.923862379364403,0.7681779586715805,1.1110989144766164,0.4002961367784049,948,592,Age-adjusted,Baseline,All,HPV_Reinfection
1.2115209595490035,0.9543624444290952,1.537972333251833,0.11496509006859995,666,315,Unadjusted,Landmark,180일,HPV_Reinfection
1.201304397168144,0.9461690012347613,1.5252373019748202,0.13213805365589132,666,315,Age-adjusted,Landmark,180일,HPV_Reinfection
1.167913178952449,0.8412404189367428,1.6214403907206731,0.35379512179171313,507,170,Unadjusted,Landmark,365일,HPV_Reinfection
1.168411369691059,0.8415649370440124,1.6221982032884288,0.3525340717607901,507,170,Age-adjusted,Landmark,365일,HPV_Reinfection
0.8963124070315426,0.727703698731586,1.1039876977387788,0.3032196532488163,948,472,Unadjusted,Restricted FU,2년,HPV_Reinfection
0.8853840851553442,0.718742940943171,1.0906611162228401,0.25251668348621015,948,472,Age-adjusted,Restricted FU,2년,HPV_Reinfection
0.899856478559986,0.7366285984641928,1.099253658756421,0.301457226020418,948,511,Unadjusted,Restricted FU,3년,HPV_Reinfection
0.8889450646879495,0.727612275299459,1.0860500226000658,0.2492735506570194,948,511,Age-adjusted,Restricted FU,3년,HPV_Reinfection
0.9270845247378826,0.7666320725725253,1.1211189131761197,0.43488554576109595,948,559,Unadjusted,Restricted FU,5년,HPV_Reinfection
0.9179775468903462,0.759030821166632,1.1102089046919235,0.3776452530479707,948,559,Age-adjusted,Restricted FU,5년,HPV_Reinfection
1.1999604800622468,0.9455762442070133,1.5227805928212195,0.13371050475530288,673,317,Unadjusted,Exclude Early,180일 이전 제외,HPV_Reinfection
1.189701802826519,0.9373472517628963,1.509995764095647,0.153272376003841,673,317,Age-adjusted,Exclude Early,180일 이전 제외,HPV_Reinfection
1.1679131789524504,0.841240418936744,1.621440390720675,0.35379512179170913,526,170,Unadjusted,Exclude Early,365일 이전 제외,HPV_Reinfection
1.168411369691059,0.8415649370440124,1.6221982032884286,0.3525340717607901,526,170,Age-adjusted,Exclude Early,365일 이전 제외,HPV_Reinfection
0.9302287789447488,0.7173525072119481,1.2062766526602104,0.5854068027355569,420,296,Unadjusted,Subgroup-Age,<35세,HPV_Reinfection
0.8210472711551046,0.5850616377165456,1.1522181220123768,0.25409230082831347,365,194,Unadjusted,Subgroup-Age,35-44세,HPV_Reinfection
1.1177740345396905,0.7355148181909857,1.6986996881505512,0.6020771978542461,163,102,Unadjusted,Subgroup-Age,≥45세,HPV_Reinfection
